Ticker;Company;Currency;Price;Raw Price;EMA20;EMA50;EMA100;EMA200;Distance EMA20 %;Distance EMA50 %;1D %;1W %;1M %;3M %;6M %;RSI;52W High;52W High Raw;52W Low Raw;Distance 52W High %;Distance 52W Low %;Volatility 30D %;Beta;Volume Signal;RVOL;Volume Trend 10D;Dividend Yield %;Dividend Rate;Ex Dividend Date;Last Dividend Date;Next Earnings Date;Stop Loss Idea;Market Cap;Market Cap Class;Forward PE;Trailing PE;PEG Ratio;Revenue Growth;Revenue Growth Raw;Earnings Growth;Earnings Growth Raw;Profit Margin;Profit Margin Raw;Debt To Equity;Free Cashflow;Free Cashflow Raw;Operating Cashflow;Operating Cashflow Raw;Fundamental Score;Fundamental Rating;Fundamental Data Points;Fundamental Data Quality;Fundamental Pros;Fundamental Cons;Risk Level;Turnaround Candidate;Early Signal Score;Early Signal Label;Early Signal Details;Score;Rating;Reason;Sector;Industry;Liquidity;Exchange;Avg Dollar Volume;Relative Strength 1M;Relative Strength 3M;RS Percentile;RS Rating;Sector Avg 1M %;Market RS 1M;Market RS 3M;Smart Money Score;Smart Money Signal;Smart Money Details;Insider Buys 6M;Insider Sells 6M;Insider Net Value;Institutional %;Short % Float;Short Ratio;Swing Score;Swing Tier
RMS.PA;HERMES INTL;EUR;1651.5 EUR;1651.5;1622.39 EUR;1638.23 EUR;1688.37 EUR;1770.84 EUR;1.79;0.81;0.43;6.14;0.61;2.8;-16.68;53.37;2227.55 EUR;2227.55;1508.5;-25.86;9.48;2.83;1.0;LOW;0.14;17.53;1.09%;18.0 EUR;21.04.2026;21.04.2026;12.02.2026;1605.46 EUR;172980895744.0;Large Cap;32.29;38.18;3.73;1.6%;0.02;-0.3%;-0.0;28.0%;0.28;11.98;4.91 Mrd.;4914625024.0;5.74 Mrd.;5743000064.0;4;MIXED;8;OK;Umsatzwachstum positiv | Solide Gewinnmarge | Free Cashflow positiv | Verschuldung moderat | Dividende vorhanden;PEG Ratio hoch | Gewinnwachstum negativ;LOW RISK;NO;5;EARLY SIGNAL;EMA20-Squeeze / Kurs nähert sich von unten | RSI erholt sich aus überverkaufter Zone | Mögliche Bodenbildung nahe 52W-Tief;5;PRE-BREAKOUT;über EMA20, über EMA50, 1M positiv, Early: EARLY SIGNAL;CONSUMER CYCLICAL;Luxury Goods;HOCH;PAR;163521568.0;0.65;3.63;50.0;🟡 Durchschnittlich;-0.04;-1.78;-2.81;0;⚪ Keine Daten;-;0;0;;10.18;;;44.5;🟡 Beobachten
VOD.L;VODAFONE GROUP PLC ORD USD0.20 ;GBp;117.15 GBp;117.15;115.96 GBp;113.18 GBp;111.44 GBp;108.63 GBp;1.02;3.51;0.3;0.21;6.4;-1.24;7.25;53.78;123.25 GBp;123.25;84.04;-4.95;39.39;3.31;0.333;LOW;0.07;33.85;0.03%;0.04 GBp;04.06.2026;04.06.2026;12.05.2026;110.92 GBp;27073755136.0;Large Cap;10.92;-;0.59;-;-;-;-;-0.98%;-0.01;100.15;5.17 Mrd.;5167374848.0;14.29 Mrd.;14291000320.0;3;MIXED;5;OK;Forward KGV im gesunden Bereich | PEG Ratio attraktiv | Free Cashflow positiv | Dividende vorhanden;Negative Gewinnmarge;LOW RISK;NO;1;-;EMA50 dreht nach oben;8;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv;COMMUNICATION;Telecom Services;HOCH;LSE;10953105954.0;5.18;-1.03;64.9;🔵 Überdurchschnittlich;1.22;4.01;-6.85;0;⚪ Nicht geprüft;-;0;0;;;;;44.5;🟡 Beobachten
AMBA;Ambarella, Inc.;USD;82.04 USD;82.04;77.04 USD;73.81 USD;71.59 USD;70.88 USD;6.49;11.15;-5.46;-0.77;6.13;8.69;28.11;57.2;95.51 USD;95.51;48.65;-14.1;68.63;7.76;2.119;LOW;0.43;35.48;0.0%;-;-;-;27.08.2026;72.34 USD;3598945792.0;Mid Cap;71.51;-;2.28;16.9%;0.17;-;-;-17.18%;-0.17;2.19;47.41 Mio.;47412876.0;33.09 Mio.;33092000.0;3;MIXED;6;OK;Umsatzwachstum positiv | Free Cashflow positiv | Verschuldung moderat;Forward KGV sehr hoch | Negative Gewinnmarge;MEDIUM RISK;NO;1;-;EMA50 dreht nach oben;7;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv;SEMICONDUCTOR;Semiconductor Equipment & Materials;HOCH;NMS;152861030.0;14.98;12.11;90.1;🟢 Top-Performer im Sektor;-8.85;3.74;3.08;0;⚪ Nicht geprüft;-;0;0;;;;;44.5;🟡 Beobachten
F3C.DE;SFC Energy AG                 I;EUR;20.65 EUR;20.65;20.09 EUR;20.01 EUR;19.15 EUR;17.96 EUR;2.8;3.2;0.0;2.23;3.46;14.72;50.07;56.25;24.55 EUR;24.55;11.74;-15.89;75.89;2.99;1.275;LOW;0.29;1.71;0.0%;-;-;-;14.08.2026;19.61 EUR;359268192.0;Small Cap;19.35;-;0.82;-11.7%;-0.12;-23.1%;-0.23;-0.81%;-0.01;11.26;-1.64 Mio.;-1635033.0;-3.02 Mio.;-3022261.0;3;MIXED;7;OK;Forward KGV im gesunden Bereich | PEG Ratio attraktiv | Verschuldung moderat;Umsatzwachstum negativ | Gewinnwachstum negativ | Negative Gewinnmarge | Free Cashflow negativ;LOW RISK;NO;1;-;EMA50 dreht nach oben;8;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv;INDUSTRIALS;Electrical Equipment & Parts;MITTEL;GER;1791274.0;4.06;22.15;65.1;🔵 Überdurchschnittlich;-0.6;1.07;9.11;0;⚪ Nicht geprüft;-;0;0;;;;;44.5;🟡 Beobachten
BDX;Becton, Dickinson and Company;USD;179.63 USD;179.63;165.55 USD;158.39 USD;155.71 USD;154.57 USD;8.5;13.41;1.57;5.53;18.22;24.96;13.8;75.71;182.92 USD;182.92;136.09;-1.8;32.0;2.02;0.258;NORMAL;0.93;-1.85;2.34%;4.2 USD;09.09.2026;09.06.2026;05.11.2026;155.22 USD;48928845824.0;Large Cap;13.48;30.6;1.11;5.4%;0.05;-31.4%;-0.31;4.19%;0.04;68.84;4.48 Mrd.;4478374912.0;3.34 Mrd.;3342000128.0;5;SOLID;8;GOOD;Forward KGV im gesunden Bereich | PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnmarge positiv | Free Cashflow positiv | Verschuldung moderat | Dividende vorhanden;Gewinnwachstum negativ;MEDIUM RISK;NO;2;-;EMA50 dreht nach oben | Mögliche Bodenbildung nahe 52W-Tief;7;WATCH - OVERBOUGHT;über EMA20, über EMA50, über EMA200, 1M positiv, kurzfristig heiß gelaufen, fundamental solide;HEALTHCARE;Medical Instruments & Supplies;HOCH;NYQ;447099250.0;11.22;6.64;80.0;🟢 Top-Performer im Sektor;7.0;15.83;19.35;0;⚪ Nicht geprüft;-;0;0;;;;;44.5;🟡 Beobachten
INTU;Intuit Inc.;USD;334.43 USD;334.43;310.19 USD;310.69 USD;345.59 USD;401.84 USD;7.82;7.64;2.82;5.04;21.63;-13.55;-32.46;64.73;709.24 USD;709.24;253.95;-52.85;31.69;2.81;0.959;LOW;0.7;-6.5;1.44%;4.8 USD;09.07.2026;09.07.2026;25.08.2026;304.48 USD;91478974464.0;Large Cap;12.22;19.84;0.84;10.4%;0.1;10.7%;0.11;21.91%;0.22;33.45;5.23 Mrd.;5232000000.0;7.89 Mrd.;7888000000.0;8;VERY SOLID;8;GOOD;Forward KGV im gesunden Bereich | KGV nicht übertrieben | PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnwachstum positiv | Solide Gewinnmarge | Free Cashflow positiv | Verschuldung moderat | Dividende vorhanden;-;LOW RISK;YES;3;MÖGLICHES SIGNAL;EMA50 dreht nach oben | Mögliche Bodenbildung nahe 52W-Tief | Momentum-Divergenz: 1M dreht positiv nach langem Abschwung;5;TURNAROUND;über EMA20, über EMA50, 1M positiv, mögliche Trendwende, Early: MÖGLICHES SIGNAL, fundamental solide;SOFTWARE;Software - Application;HOCH;NMS;1820581070.0;9.59;-36.45;70.0;🔵 Überdurchschnittlich;12.04;19.24;-19.16;0;⚪ Nicht geprüft;-;0;0;;;;;44.5;🟡 Beobachten
APH;Amphenol Corporation;USD;167.7 USD;167.7;161.73 USD;156.53 USD;150.75 USD;145.42 USD;3.69;7.14;-0.87;2.67;5.43;21.29;16.8;58.38;176.32 USD;176.32;107.91;-4.89;55.4;2.96;1.251;NORMAL;0.8;-5.12;0.6%;1.0 USD;22.09.2026;23.06.2026;28.10.2026;153.4 USD;206771322880.0;Mega Cap;26.01;41.82;1.18;55.0%;0.55;59.3%;0.59;17.73%;0.18;120.42;3.82 Mrd.;3818374912.0;5.87 Mrd.;5871699968.0;5;SOLID;8;GOOD;PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnwachstum positiv | Solide Gewinnmarge | Free Cashflow positiv | Dividende vorhanden;-;LOW RISK;NO;1;-;EMA50 dreht nach oben;8;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, fundamental solide;TECHNOLOGY;Electronic Components;HOCH;NYQ;1508377818.0;4.18;18.71;64.6;🔵 Überdurchschnittlich;1.25;3.04;15.68;0;⚪ Nicht geprüft;-;0;0;;;;;44.4;🟡 Beobachten
VLA.PA;VALNEVA SE;EUR;2.53 EUR;2.53;2.25 EUR;2.32 EUR;2.59 EUR;2.96 EUR;12.69;9.33;8.71;14.2;16.25;-7.49;-35.12;73.64;5.09 EUR;5.09;2.08;-50.24;21.6;2.5;1.347;HIGH;3.25;35.8;0.0%;-;-;-;13.08.2026;2.27 EUR;517338080.0;Small Cap;9.68;-;-13.06;-37.2%;-0.37;-;-;-88.3%;-0.88;273.15;-31.01 Mio.;-31007750.0;-45.06 Mio.;-45059000.0;1;WEAK;6;OK;Forward KGV im gesunden Bereich;Umsatzwachstum negativ | Negative Gewinnmarge | Free Cashflow negativ | Verschuldung hoch;MEDIUM RISK;YES;4;MÖGLICHES SIGNAL;EMA50 dreht nach oben | Bodenbildung: nahe 52W-Tief mit positiver Kursdrehung | Momentum-Divergenz: 1M dreht positiv nach langem Abschwung;4;TURNAROUND;über EMA20, über EMA50, 1M positiv, mögliche Trendwende, hohes Volumen, Early: MÖGLICHES SIGNAL, Fundamentaldaten schwach;BIOTECH;Biotechnology;MITTEL;PAR;1409857.0;16.72;-27.26;84.8;🟢 Top-Performer im Sektor;-0.47;13.86;-13.1;0;⚪ Nicht geprüft;-;0;0;;;;;44.4;🟡 Beobachten
AJG;Arthur J. Gallagher & Co.;USD;252.43 USD;252.43;249.84 USD;239.68 USD;233.03 USD;234.29 USD;1.03;5.32;1.74;1.87;-0.26;28.62;1.87;54.39;307.69 USD;307.69;191.36;-17.96;31.91;2.4;0.502;NORMAL;0.94;-0.1;1.11%;2.8 USD;08.09.2026;05.06.2026;29.10.2026;234.89 USD;64708153344.0;Large Cap;16.96;41.18;0.81;30.9%;0.31;-10.7%;-0.11;10.38%;0.1;59.4;2.08 Mrd.;2082300032.0;2.45 Mrd.;2448999936.0;6;SOLID;8;GOOD;Forward KGV im gesunden Bereich | PEG Ratio attraktiv | Umsatzwachstum positiv | Solide Gewinnmarge | Free Cashflow positiv | Verschuldung moderat | Dividende vorhanden;Gewinnwachstum negativ;LOW RISK;NO;4;MÖGLICHES SIGNAL;EMA20-Squeeze / Kurs nähert sich von unten | EMA50 dreht nach oben | Mögliche Bodenbildung nahe 52W-Tief;7;STRONG BUY;über EMA20, über EMA50, über EMA200, Early: MÖGLICHES SIGNAL, fundamental solide;FINANCIALS;Insurance Brokers;HOCH;NYQ;436368168.0;-2.16;19.95;35.9;🟡 Durchschnittlich;1.9;-2.65;23.01;1;🔵 Leicht positiv;hohe institutionelle Beteiligung;0;0;;95.53;3.15;4.15;44.3;🟡 Beobachten
CTSH;Cognizant Technology Solutions ;USD;58.31 USD;58.31;51.72 USD;49.93 USD;52.89 USD;57.59 USD;12.74;16.79;1.11;5.69;36.97;14.4;-28.08;73.42;85.66 USD;85.66;38.73;-31.93;50.56;3.47;0.809;NORMAL;0.99;9.5;2.26%;1.32 USD;18.08.2026;18.05.2026;28.10.2026;48.93 USD;27580631040.0;Large Cap;9.23;12.51;0.92;4.5%;0.04;3.8%;0.04;10.26%;0.1;14.48;2.22 Mrd.;2215500032.0;2.92 Mrd.;2916999936.0;8;VERY SOLID;8;GOOD;Forward KGV im gesunden Bereich | KGV nicht übertrieben | PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnwachstum positiv | Solide Gewinnmarge | Free Cashflow positiv | Verschuldung moderat | Dividende vorhanden;-;MEDIUM RISK;YES;1;-;EMA50 dreht nach oben;6;TURNAROUND;über EMA20, über EMA50, über EMA200, 1M positiv, mögliche Trendwende, fundamental solide;TECHNOLOGY;Information Technology Services;HOCH;NMS;653388332.0;35.72;11.82;97.6;🟢 Top-Performer im Sektor;1.25;34.58;8.79;0;⚪ Nicht geprüft;-;0;0;;;;;44.3;🟡 Beobachten
MCHP;Microchip Technology Incorporat;USD;81.39 USD;81.39;80.32 USD;83.77 USD;83.02 USD;79.5 USD;1.33;-2.84;-3.9;8.2;-8.13;-20.52;8.38;49.84;102.71 USD;102.71;48.06;-20.76;69.36;4.36;1.742;NORMAL;0.75;4.64;2.24%;1.82 USD;24.08.2026;22.05.2026;05.11.2026;82.1 USD;44195479552.0;Large Cap;17.92;125.22;0.31;38.0%;0.38;-;-;9.34%;0.09;83.69;1.36 Mrd.;1364762496.0;1.2 Mrd.;1198000000.0;5;SOLID;7;GOOD;Forward KGV im gesunden Bereich | PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnmarge positiv | Free Cashflow positiv | Verschuldung moderat | Dividende vorhanden;KGV sehr hoch;LOW RISK;NO;4;MÖGLICHES SIGNAL;EMA20-Squeeze / Kurs nähert sich von unten | RSI erholt sich aus überverkaufter Zone;5;BUY;über EMA20, über EMA200, Early: MÖGLICHES SIGNAL, fundamental solide;SEMICONDUCTOR;Semiconductors;HOCH;NMS;969113823.0;0.72;-17.1;59.2;🟡 Durchschnittlich;-8.85;-10.52;-26.13;0;⚪ Nicht geprüft;-;0;0;;;;;44.3;🟡 Beobachten
TYL;Tyler Technologies, Inc.;USD;318.63 USD;318.63;310.81 USD;310.84 USD;324.04 USD;350.7 USD;2.51;2.51;1.98;4.28;2.96;-0.63;-13.74;54.44;584.2 USD;584.2;275.27;-45.46;15.75;3.07;0.809;LOW;0.65;-7.0;0.0%;-;31.01.1990;31.01.1990;28.10.2026;304.62 USD;13048623104.0;Large Cap;20.76;41.81;1.59;8.2%;0.08;15.5%;0.15;13.36%;0.13;47.91;594.44 Mio.;594435648.0;730.75 Mio.;730747008.0;7;VERY SOLID;8;GOOD;Forward KGV im gesunden Bereich | PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnwachstum positiv | Solide Gewinnmarge | Free Cashflow positiv | Verschuldung moderat;-;LOW RISK;NO;6;EARLY SIGNAL;EMA20-Squeeze / Kurs nähert sich von unten | EMA50 dreht nach oben | RSI erholt sich aus überverkaufter Zone | Mögliche Bodenbildung nahe 52W-Tief;5;PRE-BREAKOUT;über EMA20, über EMA50, 1M positiv, Early: EARLY SIGNAL, fundamental solide;SOFTWARE;Software - Application;HOCH;NYQ;284840244.0;-9.08;-23.53;32.5;🟡 Durchschnittlich;12.04;0.57;-6.24;1;🔵 Leicht positiv;hohe institutionelle Beteiligung | erhöhte Shortquote (10.0% Float) -> Squeeze-Kontext;0;0;;107.59;10.03;4.21;44.2;🟡 Beobachten
MDLZ;Mondelez International, Inc.;USD;61.53 USD;61.53;61.64 USD;60.88 USD;60.01 USD;59.16 USD;-0.17;1.07;-1.72;-0.32;4.59;0.28;7.03;50.58;64.99 USD;64.99;50.64;-5.32;21.5;2.0;0.404;LOW;0.65;-3.92;3.25%;2.0 USD;30.06.2026;30.06.2026;27.10.2026;59.66 USD;78982971392.0;Large Cap;18.31;38.22;1.04;4.1%;0.04;144.9%;1.45;8.86%;0.09;82.64;2.25 Mrd.;2252375040.0;4.44 Mrd.;4435999744.0;6;SOLID;8;GOOD;Forward KGV im gesunden Bereich | PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnwachstum positiv | Gewinnmarge positiv | Free Cashflow positiv | Verschuldung moderat | Dividende vorhanden;-;LOW RISK;NO;1;-;EMA50 dreht nach oben;6;BUY;über EMA50, über EMA200, 1M positiv, fundamental solide;CONSUMER DEFENSIVE;Confectioners;HOCH;NMS;561776714.0;3.96;-2.7;80.8;🟢 Top-Performer im Sektor;0.63;2.2;-5.33;0;⚪ Nicht geprüft;-;0;0;;;;;44.2;🟡 Beobachten
HPE;Hewlett Packard Enterprise Comp;USD;54.68 USD;54.68;49.41 USD;45.74 USD;40.3 USD;34.97 USD;10.66;19.54;2.74;8.84;12.65;80.57;156.48;66.6;55.99 USD;55.99;19.72;-2.33;177.35;3.76;1.436;NORMAL;0.95;2.14;1.04%;0.57 USD;16.06.2026;16.06.2026;03.09.2026;44.83 USD;72407449600.0;Large Cap;13.56;51.1;0.85;40.0%;0.4;-;-;4.01%;0.04;84.03;3.84 Mrd.;3836000000.0;6.36 Mrd.;6358000128.0;5;SOLID;7;GOOD;Forward KGV im gesunden Bereich | PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnmarge positiv | Free Cashflow positiv | Verschuldung moderat | Dividende vorhanden;KGV sehr hoch;MEDIUM RISK;NO;1;-;EMA50 dreht nach oben;8;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, fundamental solide;TECHNOLOGY;Communication Equipment;HOCH;NYQ;1453352023.0;11.4;77.99;80.5;🟢 Top-Performer im Sektor;1.25;10.26;74.96;0;⚪ Nicht geprüft;-;0;0;;;;;44.2;🟡 Beobachten
PRU;Prudential Financial, Inc.;USD;122.11 USD;122.11;119.79 USD;114.22 USD;109.29 USD;106.25 USD;1.94;6.91;0.68;-0.71;5.84;23.58;12.91;61.82;123.93 USD;123.93;90.76;-1.47;34.54;1.36;0.826;LOW;0.65;4.81;4.59%;5.6 USD;26.05.2026;26.05.2026;28.10.2026;111.93 USD;42127949824.0;Large Cap;8.31;11.0;1.32;14.1%;0.14;89.2%;0.89;6.01%;0.06;163.89;7.53 Mrd.;7527750144.0;10.97 Mrd.;10968999936.0;6;SOLID;8;GOOD;Forward KGV im gesunden Bereich | KGV nicht übertrieben | PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnwachstum positiv | Gewinnmarge positiv | Free Cashflow positiv | Dividende vorhanden;-;LOW RISK;NO;2;-;Leichte Vol.-Erhöhung in Seitwärtsphase | EMA50 dreht nach oben;7;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, fundamental solide;FINANCIALS;Insurance - Life;HOCH;NYQ;232419534.0;3.94;14.91;62.5;🔵 Überdurchschnittlich;1.9;3.45;17.97;0;⚪ Nicht geprüft;-;0;0;;;;;44.2;🟡 Beobachten
7203.T;TOYOTA MOTOR CORP;JPY;2981.0 JPY;2981.0;2957.6 JPY;2942.35 JPY;3007.51 JPY;3072.07 JPY;0.79;1.31;0.03;0.59;5.56;2.33;-12.54;53.06;3886.14 JPY;3886.14;2686.0;-23.29;10.98;2.13;0.335;LOW;0.64;9.81;3.35%;100.0 JPY;29.09.2026;30.03.2027;05.11.2026;2883.5 JPY;35298176139264.0;Mega Cap;9.19;8.48;1.56;10.4%;0.1;86.9%;0.87;8.63%;0.09;114.97;-3599.96 Mrd.;-3599962472448.0;4132.99 Mrd.;4132990091264.0;5;SOLID;8;GOOD;Forward KGV im gesunden Bereich | KGV nicht übertrieben | PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnwachstum positiv | Gewinnmarge positiv | Dividende vorhanden;Free Cashflow negativ;LOW RISK;NO;2;-;EMA50 dreht nach oben | Mögliche Bodenbildung nahe 52W-Tief;6;BUY;über EMA20, über EMA50, 1M positiv, fundamental solide;CONSUMER CYCLICAL;Auto Manufacturers;HOCH;JPX;89575261149.0;5.6;3.16;70.3;🔵 Überdurchschnittlich;-0.04;3.17;-3.28;0;⚪ Nicht geprüft;-;0;0;;;;;44.1;🟡 Beobachten
AR;Antero Resources Corporation;USD;37.07 USD;37.07;35.07 USD;35.23 USD;35.7 USD;35.73 USD;5.72;5.22;6.8;1.62;11.56;0.62;1.92;60.74;45.15 USD;45.15;29.87;-17.9;24.1;2.45;0.344;NORMAL;1.3;7.5;0.0%;-;-;-;28.10.2026;34.53 USD;11396763648.0;Large Cap;8.5;10.62;0.46;12.6%;0.13;79.9%;0.8;18.75%;0.19;55.49;391.22 Mio.;391220736.0;1.98 Mrd.;1978739968.0;8;VERY SOLID;8;GOOD;Forward KGV im gesunden Bereich | KGV nicht übertrieben | PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnwachstum positiv | Solide Gewinnmarge | Free Cashflow positiv | Verschuldung moderat;-;LOW RISK;NO;3;MÖGLICHES SIGNAL;EMA50 dreht nach oben | Bodenbildung: nahe 52W-Tief mit positiver Kursdrehung;6;BUY;über EMA20, über EMA50, über EMA200, 1M positiv, Early: MÖGLICHES SIGNAL, fundamental solide;ENERGY;Oil & Gas E&P;HOCH;NYQ;176386140.0;1.42;-3.74;60.3;🔵 Überdurchschnittlich;10.14;9.17;-4.99;0;⚪ Nicht geprüft;-;0;0;;;;;44.1;🟡 Beobachten
TTE;TotalEnergies SE;USD;87.96 USD;87.96;84.84 USD;84.26 USD;83.37 USD;80.32 USD;3.68;4.39;2.48;0.87;12.05;-2.22;22.8;61.12;93.6 USD;93.6;55.92;-6.03;57.29;1.88;0.062;LOW;0.62;0.24;4.82%;4.24 USD;30.09.2026;31.03.2026;29.10.2026;82.58 USD;195168763904.0;Large Cap;9.12;11.01;0.7;27.8%;0.28;106.0%;1.06;9.08%;0.09;48.05;13.53 Mrd.;13531374592.0;33.04 Mrd.;33038999552.0;7;VERY SOLID;8;GOOD;Forward KGV im gesunden Bereich | KGV nicht übertrieben | PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnwachstum positiv | Gewinnmarge positiv | Free Cashflow positiv | Verschuldung moderat | Dividende vorhanden;-;LOW RISK;NO;1;-;EMA50 dreht nach oben;8;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, fundamental solide;ENERGY;Oil & Gas Integrated;HOCH;NYQ;135215718.0;1.91;-6.58;63.8;🔵 Überdurchschnittlich;10.14;9.66;-7.83;0;⚪ Nicht geprüft;-;0;0;;;;;44.1;🟡 Beobachten
DEQ.DE;Deutsche EuroShop SE          N;EUR;18.52 EUR;18.52;18.45 EUR;18.5 EUR;18.56 EUR;18.51 EUR;0.4;0.11;0.22;0.11;2.55;-1.34;0.59;52.3;19.85 EUR;19.85;17.16;-6.72;7.94;1.08;0.421;LOW;0.21;40.74;5.4%;1.0 EUR;19.06.2026;19.06.2026;13.08.2026;18.13 EUR;1402776192.0;Small Cap;10.44;6.61;10.13;2.0%;0.02;-10.7%;-0.11;74.78%;0.75;95.15;90.36 Mio.;90362872.0;139.52 Mio.;139515008.0;6;SOLID;8;GOOD;Forward KGV im gesunden Bereich | KGV nicht übertrieben | Umsatzwachstum positiv | Solide Gewinnmarge | Free Cashflow positiv | Verschuldung moderat | Dividende vorhanden;PEG Ratio hoch | Gewinnwachstum negativ;LOW RISK;NO;1;-;Mögliche Bodenbildung nahe 52W-Tief;6;BUY;über EMA20, über EMA50, über EMA200, 1M positiv, fundamental solide;REAL ESTATE;Real Estate Services;NIEDRIG;GER;148734.0;3.29;-0.64;80.0;🟢 Top-Performer im Sektor;-0.74;0.16;-6.95;0;⚪ Nicht geprüft;-;0;0;;;;;44.0;🟡 Beobachten
LDO.MI;LEONARDO;EUR;58.59 EUR;58.59;54.83 EUR;53.19 EUR;53.09 EUR;53.06 EUR;6.85;10.15;0.14;3.64;13.06;15.57;5.22;72.3;63.49 EUR;63.49;43.77;-7.72;33.86;2.04;0.377;LOW;0.23;-11.13;1.08%;0.63 EUR;22.06.2026;22.06.2026;31.07.2026;52.13 EUR;33799743488.0;Large Cap;20.62;30.05;1.31;16.7%;0.17;93.9%;0.94;5.47%;0.05;41.53;1.09 Mrd.;1092375040.0;2.24 Mrd.;2236000000.0;6;SOLID;8;GOOD;Forward KGV im gesunden Bereich | PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnwachstum positiv | Gewinnmarge positiv | Free Cashflow positiv | Verschuldung moderat | Dividende vorhanden;-;LOW RISK;NO;2;-;EMA50 dreht nach oben | Mögliche Bodenbildung nahe 52W-Tief;7;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, fundamental solide;DEFENSE;Aerospace & Defense;HOCH;MIL;142789619.0;-650.27;-172.42;61.7;🔵 Überdurchschnittlich;663.33;10.67;9.96;0;⚪ Nicht geprüft;-;0;0;;;;;44.0;🟡 Beobachten
VALE;VALE S.A.;USD;14.89 USD;14.89;14.77 USD;15.05 USD;15.22 USD;14.93 USD;0.8;-1.05;1.22;2.13;2.97;-9.7;-7.34;51.45;17.82 USD;17.82;9.22;-16.44;61.46;1.83;0.748;NORMAL;0.87;10.67;8.06%;1.2 USD;13.08.2026;12.12.2025;29.10.2026;14.75 USD;63368306688.0;Large Cap;7.23;29.2;0.34;6.4%;0.06;-43.5%;-0.43;4.75%;0.05;54.6;13.31 Mrd.;13308999680.0;50.6 Mrd.;50598998016.0;6;SOLID;8;GOOD;Forward KGV im gesunden Bereich | KGV nicht übertrieben | PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnmarge positiv | Free Cashflow positiv | Verschuldung moderat | Dividende vorhanden;Gewinnwachstum negativ;LOW RISK;NO;5;EARLY SIGNAL;EMA20-Squeeze / Kurs nähert sich von unten | RSI erholt sich aus überverkaufter Zone | Momentum-Divergenz: 1M dreht positiv nach langem Abschwung;5;PRE-BREAKOUT;über EMA20, 1M positiv, Early: EARLY SIGNAL, fundamental solide;MATERIALS;Other Industrial Metals & Mining;HOCH;NYQ;344407234.0;-1.77;2.22;48.5;🟡 Durchschnittlich;4.74;0.58;-15.31;0;⚪ Keine Daten;-;0;0;;21.7;1.37;2.52;44.0;🟡 Beobachten
DBX;Dropbox, Inc.;USD;34.59 USD;34.59;32.14 USD;29.87 USD;28.35 USD;27.67 USD;7.61;15.8;-0.63;4.66;18.5;40.1;35.75;69.51;35.0 USD;35.0;22.06;-1.17;56.8;2.19;0.64;NORMAL;1.2;6.66;0.0%;-;-;-;05.11.2026;29.27 USD;7521340416.0;Mid Cap;10.54;19.11;16.58;0.9%;0.01;-6.7%;-0.07;17.49%;0.17;-;783.08 Mio.;783075008.0;980.5 Mio.;980499968.0;5;SOLID;7;GOOD;Forward KGV im gesunden Bereich | KGV nicht übertrieben | Umsatzwachstum positiv | Solide Gewinnmarge | Free Cashflow positiv;PEG Ratio hoch | Gewinnwachstum negativ;LOW RISK;NO;1;-;EMA50 dreht nach oben;8;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, fundamental solide;SOFTWARE;Software - Infrastructure;HOCH;NMS;138675046.0;6.46;17.2;62.9;🔵 Überdurchschnittlich;12.04;16.11;34.49;0;⚪ Nicht geprüft;-;0;0;;;;;43.9;🟡 Beobachten
